Month,ENG_RP,ENG_RB,ENG_NN,ENG_VB,ENG_FW,ENG_JJ,ENG_JJR,ENG_JJS,ENG_NNP,ENG_NNS,ENG_POS,ENG_RBR,ENG_RBS,ENG_VBD,ENG_VBG,ENG_VBN,ENG_VBP,ENG_VBZ
27-6-2014,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6-12-2015,0,0,4,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
24-12-2014,0,0,30,1,4,6,0,0,19,4,0,0,0,1,0,0,2,3
5-1-2013,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15-8-2014,0,0,18,1,1,2,0,0,3,0,0,0,0,0,0,0,1,1
9-9-2013,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9-6-2016,0,4,15,1,0,1,0,0,8,3,0,0,0,2,0,0,2,0
4-8-2011,0,1,4,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0
26-9-2014,0,0,20,0,2,2,0,0,7,2,0,0,0,0,0,0,0,1
29-10-2013,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3-2-2012,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-10-2014,0,1,20,1,0,1,0,0,5,1,0,0,0,0,0,0,1,1
15-3-2013,0,0,14,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2
14-4-2015,0,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
30-10-2014,0,1,27,0,3,3,0,0,10,4,0,0,0,0,0,0,1,4
13-9-2015,0,0,4,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0
28-9-2015,0,3,36,1,7,6,0,0,12,3,0,0,0,0,0,0,3,1
24-6-2016,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-5-2014,0,4,13,1,0,1,0,0,4,0,0,0,0,0,2,0,0,0
11-10-2015,0,1,35,4,0,5,0,0,7,2,0,0,0,0,0,0,0,0
27-10-2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-5-2014,0,2,31,0,0,3,0,1,4,0,0,0,0,0,2,0,2,0
29-1-2013,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
15-5-2016,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
12-8-2014,0,0,74,1,4,6,2,0,23,2,0,0,0,2,0,0,0,5
6-6-2015,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
15-3-2016,0,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0
18-5-2012,0,0,18,0,0,3,0,1,3,1,0,0,0,0,0,0,4,0
2-7-2014,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0
6-11-2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-6-2013,0,3,29,2,0,4,0,0,0,2,0,0,0,0,3,0,2,0
15-11-2015,0,1,14,0,0,2,0,0,4,1,0,0,0,0,1,0,1,0
7-4-2015,0,0,20,0,0,2,0,0,6,1,0,0,0,0,1,0,0,1
5-10-2016,0,1,18,1,3,0,0,0,11,1,0,0,0,0,0,0,1,1
12-4-2015,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
25-1-2014,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
11-2-2012,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
13-6-2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-6-2015,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18-10-2014,0,0,24,0,1,3,0,0,7,0,0,0,0,0,0,0,0,0
1-3-2014,0,2,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
10-11-2011,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-3-2012,0,0,8,0,0,2,0,0,4,3,0,0,0,0,1,0,0,0
17-4-2012,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
25-1-2016,0,1,19,0,0,3,0,0,8,0,1,0,0,4,0,1,2,0
22-1-2015,0,0,3,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0
5-11-2014,0,0,21,2,5,5,0,0,5,3,0,0,0,1,0,0,0,0
14-1-2015,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9-5-2015,0,0,6,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1
23-1-2013,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
26-3-2016,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
24-10-2014,1,0,86,3,7,18,0,0,45,11,0,0,0,3,0,0,4,3
21-10-2014,0,0,18,2,0,5,0,0,5,2,0,0,0,0,0,0,2,1
1-2-2014,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27-12-2011,0,4,21,0,0,4,0,0,4,5,0,0,0,0,0,0,5,0
27-4-2015,0,0,49,1,12,12,0,0,19,4,0,0,0,0,0,0,2,3
5-7-2014,0,0,39,0,11,7,0,0,4,0,0,0,0,0,0,0,2,0
21-4-2016,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
28-1-2016,0,5,28,6,0,2,0,1,5,5,0,0,0,0,1,0,2,0
7-12-2016,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17-1-2014,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-4-2013,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
13-2-2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-8-2013,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10-10-2015,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
24-1-2016,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0
17-11-2011,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0
8-12-2015,0,0,8,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0
25-6-2014,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5-9-2014,0,1,49,0,10,8,0,0,11,7,0,0,0,1,0,0,6,3
1-11-2014,0,0,41,2,9,7,0,0,15,1,0,0,0,0,0,0,0,1
28-2-2015,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-8-2016,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5-3-2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27-8-2013,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20-2-2015,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
26-5-2016,0,0,7,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0
2-4-2014,0,3,11,0,0,2,0,0,1,3,0,0,0,0,1,1,0,0
12-5-2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-6-2012,0,0,5,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
15-1-2012,0,0,35,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
24-8-2013,0,2,7,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0
25-1-2015,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
4-3-2015,1,0,14,0,9,3,0,0,0,1,0,0,0,0,0,0,1,2
12-4-2016,0,0,13,0,6,2,0,0,3,4,0,0,0,1,0,0,3,3
19-3-2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-5-2012,0,0,13,0,0,2,0,0,2,2,0,0,0,0,0,0,1,1
6-2-2014,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-4-2014,0,2,4,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
25-5-2016,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-2-2013,0,3,14,1,0,3,0,0,0,4,0,0,0,0,0,1,0,0
5-12-2013,0,0,11,0,0,2,0,0,7,2,0,0,0,0,0,0,1,2
4-10-2014,0,0,34,0,6,4,0,0,9,1,0,0,0,1,0,0,0,0
27-11-2015,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
19-11-2012,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
30-10-2013,0,3,42,0,7,3,0,0,13,1,0,0,0,0,0,0,1,1
12-11-2011,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
4-5-2016,0,3,14,0,0,1,0,0,2,5,0,0,0,0,0,0,1,0
29-12-2013,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15-5-2013,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-11-2013,0,1,7,0,0,3,0,0,0,1,0,0,0,0,2,0,0,1
7-5-2015,1,1,17,1,4,7,0,0,10,1,0,0,0,1,0,0,1,0
5-10-2012,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-4-2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-10-2014,0,1,48,2,4,9,0,0,9,7,0,0,0,0,0,0,1,3
1-1-2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-11-2012,0,1,4,0,0,1,0,0,2,2,0,0,0,0,1,0,1,0
7-8-2013,0,0,8,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
29-8-2016,0,0,43,1,0,3,0,0,4,6,0,0,0,1,0,0,3,0
